Player,Pitches,Total,Pitch %,PA,AB,BIP,Hits,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,BABIP,ISO,Whiff%,EV (MPH),Adj. EV (MPH),LA (°),Dist (ft),Hard Hit%,Barrel/BBE%,Barrel/PA%
"Guerrero Jr., Vladimir",2595,2595,100.0,683,614,523,199,124,44,1,30,95,13.9,60,8.8,267,"1,245",.324,.321,.387,.385,.546,.568,.399,.409,72,.343,.221,21.4,93.8,93.8,7,156,54.9,13.8,10.5
"Rutschman, Adley",2593,2593,100.0,635,571,475,143,102,21,1,19,103,16.2,55,8.7,197,"1,153",.250,.255,.315,.322,.391,.393,.309,.315,29,.272,.140,17.1,88.2,91.4,19,169,36.6,6.1,4.6
"Winn, Masyn",2553,2553,100.0,634,587,486,157,105,32,5,15,109,17.2,38,6.0,228,"1,201",.267,.256,.311,.301,.416,.358,.314,.292,18,.303,.148,19.0,86.0,91.2,13,154,32.7,3.7,2.8
"Suárez, Eugenio",2542,2542,100.0,640,571,406,146,86,28,2,30,176,27.5,49,7.7,349,"1,200",.256,.247,.319,.314,.469,.447,.337,.330,46,.309,.214,29.1,89.1,91.9,20,166,42.4,11.3,7.2
"García, Adolis",2534,2534,100.0,635,580,409,130,78,27,0,25,177,27.9,43,6.8,452,"1,319",.224,.227,.282,.286,.400,.413,.296,.306,51,.273,.176,34.3,91.0,92.2,15,164,48.2,12.5,8.0
"Tovar, Ezequiel",2528,2528,100.0,694,655,467,176,101,45,4,26,200,28.8,22,3.2,528,"1,576",.269,.233,.294,.263,.469,.401,.324,.289,42,.344,.200,33.5,87.9,91.2,18,175,39.8,9.0,6.1
"Freeman, Freddie",2521,2521,100.0,628,542,450,153,94,35,2,22,100,15.9,68,10.8,250,"1,244",.282,.278,.368,.367,.476,.466,.365,.366,41,.306,.194,20.1,89.4,91.7,14,166,41.8,9.1,6.5
"Raleigh, Cal",2514,2514,100.0,624,546,376,120,70,16,0,34,176,28.2,66,10.6,407,"1,315",.220,.233,.308,.322,.436,.476,.323,.346,58,.251,.216,31.0,91.0,92.6,21,169,48.1,15.4,9.3
"Castro, Willi",2509,2509,100.0,635,558,413,138,90,31,5,12,150,23.6,51,8.0,374,"1,290",.247,.244,.331,.331,.385,.381,.317,.320,29,.315,.138,29.0,86.7,91.2,13,156,36.8,7.0,4.6
"Suzuki, Seiya",2509,2509,100.0,582,512,356,145,91,27,6,21,160,27.5,60,10.3,244,994,.283,.255,.363,.339,.482,.453,.365,.346,41,.370,.199,24.5,91.7,92.3,16,178,49.2,11.5,7.0
"Chisholm Jr., Jazz",2494,2494,100.0,615,561,411,143,94,21,4,24,152,24.7,48,7.8,348,"1,185",.255,.240,.317,.304,.435,.415,.326,.316,40,.307,.180,29.4,88.9,91.8,11,136,41.1,9.7,6.5
"Donovan, Brendan",2484,2484,100.0,651,586,510,162,112,34,3,13,81,12.4,47,7.2,166,"1,099",.276,.277,.341,.343,.411,.419,.330,.335,28,.300,.135,15.1,88.3,91.6,13,164,37.6,5.5,4.3
"Bleday, JJ",2483,2483,100.0,640,572,448,139,72,43,4,20,125,19.5,65,10.2,294,"1,125",.243,.242,.322,.322,.437,.400,.330,.319,37,.279,.194,26.1,88.3,91.6,18,163,36.2,8.3,5.8
"Turang, Brice",2470,2470,100.0,616,558,462,142,107,24,4,7,104,16.9,48,7.8,162,"1,178",.254,.261,.314,.321,.349,.340,.294,.297,11,.300,.095,13.8,85.1,90.3,4,154,29.7,2.4,1.8
"Harper, Bryce",2469,2469,100.0,620,550,415,157,85,42,0,30,138,22.3,65,10.5,348,"1,305",.285,.267,.362,.347,.525,.474,.380,.357,44,.331,.240,26.7,91.0,92.1,13,166,48.2,10.6,7.1
"Díaz, Yandy",2460,2460,100.0,621,563,472,158,112,31,1,14,95,15.3,50,8.1,153,"1,079",.281,.277,.341,.340,.414,.423,.331,.336,36,.314,.133,14.2,92.2,92.7,5,152,48.7,7.6,5.8
"Altuve, Jose",2454,2454,100.0,680,628,509,185,134,31,0,20,119,17.5,45,6.6,279,"1,263",.295,.262,.349,.319,.439,.399,.344,.316,33,.337,.145,22.1,85.2,91.0,13,140,31.2,6.5,4.9
"Arenado, Nolan",2452,2452,100.0,632,578,493,157,118,23,0,16,92,14.6,41,6.5,197,"1,148",.272,.255,.322,.309,.394,.356,.313,.295,16,.296,.123,17.2,86.3,91.3,17,151,31.6,3.2,2.5
"Santana, Carlos",2423,2423,100.0,591,521,424,124,75,26,0,23,99,16.8,62,10.5,244,"1,049",.238,.246,.325,.332,.420,.415,.326,.330,31,.252,.182,23.3,89.2,92.0,16,151,39.9,7.3,5.2
"Arraez, Luis",2416,2416,100.0,669,637,611,200,161,32,3,4,29,4.3,21,3.1,83,"1,202",.314,.310,.343,.340,.392,.400,.323,.325,10,.324,.078,6.9,86.1,90.2,13,166,23.7,1.6,1.5
"Greene, Riley",2404,2404,100.0,578,509,357,134,77,27,6,24,154,26.6,61,10.6,281,"1,062",.263,.254,.347,.339,.481,.479,.357,.354,48,.330,.218,26.5,91.3,92.2,12,161,47.1,13.4,8.3
"Giménez, Andrés",2400,2400,100.0,632,583,495,147,115,22,1,9,97,15.3,25,4.0,309,"1,354",.252,.262,.297,.309,.340,.355,.281,.296,14,.286,.087,22.8,85.4,90.6,8,140,28.5,2.8,2.2
"De La Cruz, Bryan",2394,2394,100.0,621,584,419,136,90,25,0,21,170,27.4,28,4.5,385,"1,279",.233,.242,.269,.279,.384,.419,.283,.302,39,.289,.151,30.1,89.6,91.7,13,163,41.3,9.3,6.3
"Bregman, Alex",2393,2393,100.0,633,581,499,151,93,30,2,26,86,13.6,43,6.8,138,"1,075",.260,.257,.314,.313,.453,.417,.331,.319,32,.264,.193,12.8,89.1,91.8,18,167,40.5,6.4,5.1
"Machado, Manny",2387,2387,100.0,637,593,473,163,104,30,0,29,124,19.5,39,6.1,300,"1,232",.275,.272,.319,.319,.472,.461,.340,.338,52,.302,.197,24.4,92.4,93.1,13,165,48.8,11.0,8.2
"Rodríguez, Julio",2385,2385,100.0,612,567,413,155,118,17,0,20,156,25.5,37,6.0,400,"1,295",.273,.275,.324,.326,.409,.463,.321,.344,42,.344,.136,30.9,91.7,92.8,11,154,48.4,10.2,6.9
"Cruz, Oneil",2381,2381,100.0,592,539,364,140,82,34,3,21,179,30.2,46,7.8,376,"1,102",.260,.264,.319,.324,.451,.463,.332,.341,57,.347,.191,34.1,95.5,94.4,10,150,54.9,15.7,9.6
"Rooker, Brent",2378,2378,100.0,610,546,373,160,93,26,2,39,177,29.0,55,9.0,407,"1,193",.293,.266,.361,.337,.562,.557,.392,.380,62,.362,.269,34.1,91.9,92.6,19,171,49.6,16.6,10.2
"Devers, Rafael",2375,2375,100.0,587,525,384,143,76,34,5,28,147,25.0,53,9.0,373,"1,209",.272,.272,.339,.339,.516,.509,.364,.364,50,.323,.244,30.9,93.2,93.2,12,171,52.6,13.0,8.5
"Busch, Michael",2365,2365,100.0,566,496,338,123,72,28,2,21,162,28.6,62,11.0,303,"1,068",.248,.217,.334,.308,.440,.418,.336,.319,38,.322,.192,28.4,89.7,91.5,17,165,39.9,11.2,6.7
"Garcia, Maikel",2360,2360,100.0,626,575,481,133,94,27,5,7,103,16.5,42,6.7,161,"1,025",.231,.260,.281,.310,.332,.366,.270,.300,18,.268,.101,15.7,89.4,92.1,6,156,42.8,3.7,2.9
"Lowe, Nathaniel",2356,2356,100.0,564,486,365,129,96,16,1,16,125,22.2,70,12.4,207,"1,007",.265,.252,.360,.351,.401,.380,.337,.328,21,.324,.136,20.6,88.9,91.7,8,159,40.0,5.8,3.7
"Schanuel, Nolan",2356,2356,100.0,607,519,426,130,98,19,0,13,103,17.0,68,11.2,142,985,.250,.258,.343,.351,.362,.359,.315,.321,15,.285,.112,14.4,85.5,90.2,10,149,25.4,3.5,2.5
"Swanson, Dansby",2355,2355,100.0,590,534,393,129,84,27,2,16,144,24.4,51,8.6,330,"1,148",.242,.244,.308,.312,.390,.416,.306,.320,36,.300,.148,28.7,89.4,91.6,10,143,42.7,9.2,6.1
"Soler, Jorge",2352,2352,100.0,573,492,356,119,63,34,1,21,140,24.4,68,11.9,302,"1,046",.242,.245,.339,.343,.443,.448,.340,.347,45,.293,.201,28.9,90.5,92.7,18,151,44.1,12.6,7.9
"Morel, Christopher",2352,2352,100.0,608,535,381,105,70,11,3,21,159,26.2,58,9.5,377,"1,105",.196,.225,.285,.313,.346,.399,.280,.316,39,.233,.150,34.1,89.2,92.5,14,145,40.4,10.2,6.4
"Castellanos, Nick",2344,2344,100.0,656,605,469,154,97,30,4,23,138,21.0,39,5.9,410,"1,360",.255,.271,.309,.325,.431,.442,.321,.334,38,.294,.177,30.1,88.4,91.4,15,160,38.2,8.1,5.8
"Verdugo, Alex",2342,2342,100.0,620,558,478,130,88,28,1,13,92,14.8,49,7.9,162,"1,046",.233,.250,.291,.310,.357,.374,.284,.302,27,.253,.124,15.5,87.7,91.2,10,147,34.9,5.6,4.4
"Vaughn, Andrew",2337,2337,100.0,618,569,443,140,90,30,1,19,131,21.2,38,6.1,254,"1,154",.246,.244,.298,.298,.402,.441,.304,.320,41,.285,.156,22.0,90.3,92.2,17,166,43.3,9.3,6.6
"Arcia, Orlando",2332,2332,100.0,601,551,431,120,79,24,0,17,128,21.3,40,6.7,305,"1,146",.218,.206,.270,.262,.354,.323,.273,.261,23,.249,.136,26.6,88.1,91.3,9,140,37.8,5.3,3.8
"Smith, Josh",2327,2327,100.0,591,523,407,135,91,30,1,13,121,20.5,45,7.6,239,"1,095",.258,.242,.336,.323,.394,.352,.323,.304,15,.311,.136,21.8,87.1,91.1,15,150,37.1,3.7,2.5
"Turner, Justin",2320,2320,100.0,537,460,372,119,84,24,0,11,95,17.7,57,10.6,179,"1,054",.259,.252,.352,.349,.383,.383,.327,.328,17,.299,.124,17.0,87.2,90.4,18,176,32.5,4.6,3.2
"Walker, Christian",2315,2315,100.0,548,479,354,120,68,26,0,26,133,24.3,51,9.3,285,"1,112",.251,.246,.330,.334,.468,.457,.343,.351,47,.287,.217,25.6,91.2,92.4,17,173,48.0,13.3,8.6
"Hoerner, Nico",2314,2314,100.0,640,582,519,159,116,35,1,7,66,10.3,43,6.7,133,"1,119",.273,.280,.334,.343,.373,.353,.313,.313,6,.297,.100,11.9,85.7,90.4,10,152,27.6,1.2,0.9
"Cowser, Colton",2311,2311,100.0,559,499,330,121,70,24,3,24,172,30.8,50,8.9,313,"1,029",.242,.230,.318,.310,.447,.437,.331,.326,45,.317,.204,30.4,90.3,91.9,13,165,46.1,13.6,8.1
"Stott, Bryson",2307,2307,100.0,569,506,422,124,92,19,2,11,93,16.3,51,9.0,173,"1,018",.245,.254,.313,.323,.356,.363,.295,.306,15,.275,.111,17.0,86.8,90.8,14,160,30.8,3.6,2.6
"Perez, Salvador",2301,2301,100.0,643,590,467,160,105,28,0,27,129,20.1,35,5.4,370,"1,330",.271,.275,.321,.325,.456,.522,.335,.360,57,.302,.185,27.8,91.1,92.6,19,171,44.8,12.2,8.9
"Springer, George",2299,2299,100.0,612,543,430,120,79,19,3,19,115,18.8,60,9.8,285,"1,128",.221,.244,.304,.325,.372,.402,.299,.322,40,.246,.151,25.3,87.5,91.7,9,139,37.4,9.3,6.5
"Vierling, Matt",2299,2299,100.0,562,514,399,133,84,28,5,16,120,21.4,40,7.1,191,984,.259,.257,.313,.312,.426,.394,.320,.310,30,.305,.167,19.4,89.4,91.7,12,167,40.9,7.5,5.3
"Neto, Zach",2289,2289,100.0,601,542,407,135,77,34,1,23,140,23.3,38,6.3,303,"1,119",.249,.236,.317,.306,.443,.414,.330,.317,34,.295,.194,27.1,87.6,92.1,11,143,38.8,8.4,5.7
"Naylor, Josh",2284,2284,100.0,625,563,462,137,79,27,0,31,105,16.8,50,8.0,257,"1,149",.243,.257,.311,.324,.456,.443,.331,.334,39,.246,.213,22.4,89.9,92.6,11,145,40.9,8.4,6.2
"Peña, Jeremy",2272,2272,100.0,649,602,500,160,115,28,2,15,111,17.1,24,3.7,306,"1,231",.266,.263,.307,.307,.394,.394,.305,.310,27,.301,.128,24.9,87.8,91.7,7,136,38.8,5.4,4.2
"Smith, Will",2271,2271,100.0,537,476,379,118,72,24,2,20,105,19.6,44,8.2,219,"1,050",.248,.242,.318,.316,.433,.446,.325,.333,41,.273,.185,20.9,89.4,91.2,19,184,42.0,10.8,7.6
"Alvarez, Yordan",2264,2264,100.0,617,551,461,170,99,34,2,35,94,15.2,52,8.4,215,"1,083",.309,.304,.376,.372,.568,.596,.402,.411,67,.317,.260,19.9,93.0,93.5,18,180,49.7,14.5,10.9
"Abrams, CJ",2261,2261,100.0,599,541,418,133,78,29,6,20,128,21.4,37,6.2,297,"1,204",.246,.247,.311,.314,.433,.409,.322,.319,29,.285,.187,24.7,88.1,91.4,15,154,40.7,6.9,4.8
"Langford, Wyatt",2256,2256,100.0,554,499,387,126,81,25,4,16,115,20.8,48,8.7,221,966,.253,.257,.321,.327,.415,.427,.321,.331,36,.296,.162,22.9,89.6,92.4,17,156,43.4,9.3,6.5
"Hoskins, Rhys",2243,2243,100.0,516,449,306,96,56,14,0,26,149,28.9,52,10.1,253,961,.214,.202,.302,.294,.419,.387,.313,.301,39,.250,.205,26.3,88.7,91.7,21,165,42.2,12.7,7.6
"Bell, Josh",2238,2238,100.0,602,538,421,134,90,23,2,19,120,19.9,50,8.3,293,"1,093",.249,.239,.318,.310,.405,.396,.317,.310,32,.286,.156,26.8,88.9,91.8,11,149,40.1,7.6,5.3
"Merrill, Jackson",2214,2214,100.0,592,554,462,162,101,31,6,24,101,17.1,28,4.7,258,"1,260",.292,.303,.325,.336,.500,.534,.352,.372,52,.318,.208,20.5,89.8,91.9,14,174,43.9,11.3,8.8
"Kwan, Steven",2165,2165,100.0,540,480,431,140,107,16,3,14,51,9.4,53,9.8,69,846,.292,.284,.368,.361,.425,.385,.349,.333,11,.304,.133,8.2,85.0,90.3,14,173,23.7,2.6,2.0
"McCutchen, Andrew",2163,2163,100.0,513,448,317,104,65,18,1,20,133,25.9,56,10.9,262,908,.232,.227,.326,.322,.411,.421,.324,.327,38,.283,.179,28.9,88.5,91.7,14,158,36.9,12.0,7.4
"Doyle, Brenton",2158,2158,100.0,602,542,401,141,90,24,4,23,153,25.4,45,7.5,331,"1,110",.260,.254,.316,.313,.446,.437,.328,.329,42,.316,.186,29.8,88.4,91.9,13,162,41.4,10.5,7.0
"Marte, Ketel",2146,2146,100.0,576,504,407,147,86,23,2,36,106,18.4,58,10.1,220,"1,035",.292,.294,.365,.371,.560,.538,.391,.392,50,.299,.268,21.3,93.7,93.7,9,156,53.8,12.3,8.7
"Pasquantino, Vinnie",2133,2133,100.0,553,496,439,130,79,30,2,19,71,12.8,39,7.1,148,"1,020",.262,.266,.313,.321,.446,.438,.325,.331,31,.265,.183,14.5,90.9,92.9,15,154,46.5,7.1,5.6
"Diaz, Yainer",2128,2128,100.0,617,584,486,175,127,29,3,16,106,17.2,23,3.7,300,"1,252",.300,.300,.324,.326,.442,.459,.329,.339,37,.338,.142,24.0,90.2,92.2,9,149,47.5,7.6,6.0
"Ortiz, Joey",2124,2124,100.0,511,440,346,105,63,25,6,11,103,20.2,56,11.0,143,836,.239,.234,.329,.328,.398,.343,.319,.305,16,.283,.159,17.1,86.9,91.5,9,153,38.4,4.6,3.1
"Bohm, Alec",2122,2122,100.0,604,554,474,155,94,44,2,15,86,14.2,38,6.3,186,"1,054",.280,.288,.329,.340,.448,.444,.335,.342,32,.305,.168,17.6,90.4,92.3,10,161,45.6,6.8,5.3
"Burleson, Alec",2113,2113,100.0,594,546,477,146,105,20,0,21,76,12.8,35,5.9,226,"1,178",.267,.273,.313,.320,.419,.435,.318,.329,31,.275,.152,19.2,89.4,91.7,13,156,41.7,6.5,5.2
"Chourio, Jackson",2103,2103,100.0,569,528,410,145,91,29,4,21,121,21.3,35,6.2,278,"1,027",.275,.274,.322,.322,.464,.430,.339,.328,32,.320,.189,27.1,89.1,92.4,7,153,44.9,7.8,5.6
"Sheets, Gavin",2087,2087,100.0,498,451,348,105,70,24,1,10,106,21.3,40,8.0,222,964,.233,.251,.299,.316,.357,.380,.290,.308,20,.281,.124,23.0,87.8,91.5,14,158,35.3,5.7,4.0
"Gurriel Jr., Lourdes",2083,2083,100.0,552,513,417,143,101,22,2,18,101,18.3,28,5.1,215,"1,064",.279,.267,.321,.311,.435,.421,.327,.319,28,.313,.156,20.2,88.4,91.5,16,161,40.0,6.7,5.1
"Bellinger, Cody",2083,2083,100.0,562,516,432,137,93,23,3,18,89,15.8,38,6.8,230,"1,038",.266,.242,.317,.297,.426,.391,.322,.301,27,.287,.161,22.2,87.8,91.1,17,155,32.9,6.3,4.8
"Burger, Jake",2081,2081,100.0,577,535,389,134,81,23,1,29,150,26.0,29,5.0,328,"1,090",.250,.256,.298,.305,.460,.476,.325,.338,48,.292,.209,30.1,91.3,93.4,13,156,46.8,12.3,8.3
"Thomas, Lane",2080,2080,100.0,527,472,340,112,68,26,3,15,137,26.0,43,8.2,212,910,.237,.242,.307,.313,.400,.377,.309,.307,25,.298,.163,23.3,88.8,92.0,17,152,40.6,7.4,4.7
"Rodgers, Brendan",2079,2079,100.0,538,501,372,134,91,29,1,13,132,24.5,30,5.6,265,"1,025",.267,.248,.313,.296,.407,.377,.314,.295,21,.338,.140,25.9,89.1,91.8,5,146,44.1,5.6,3.9
"Rafaela, Ceddanne",2070,2070,100.0,570,544,398,134,91,23,5,15,151,26.5,14,2.5,423,"1,282",.246,.229,.273,.257,.390,.368,.286,.273,30,.312,.143,33.0,85.9,90.9,14,149,36.9,7.5,5.3
"Winker, Jesse",2063,2063,100.0,506,430,329,109,72,23,0,14,106,20.9,61,12.1,175,891,.253,.245,.357,.351,.405,.384,.338,.329,25,.304,.151,19.6,87.8,91.2,14,154,37.4,7.6,4.9
"Gelof, Zack",2055,2055,100.0,547,497,317,105,66,20,2,17,188,34.4,38,6.9,385,"1,058",.211,.199,.270,.262,.362,.347,.276,.271,28,.296,.151,36.4,88.3,91.3,13,146,37.2,8.8,5.1
"Martinez, J.D.",2052,2052,100.0,495,434,295,102,61,24,1,16,141,28.5,49,9.9,314,996,.235,.256,.320,.339,.406,.472,.318,.351,44,.308,.171,31.5,91.0,91.7,14,174,46.1,14.9,8.9
"Betts, Mookie",2047,2047,100.0,513,450,397,130,82,24,5,19,57,11.1,58,11.3,123,826,.289,.282,.368,.365,.491,.447,.370,.356,24,.294,.202,14.9,89.9,91.6,21,185,39.5,6.0,4.7
"Frelick, Sal",2046,2046,100.0,523,474,400,123,95,22,4,2,77,14.7,39,7.5,110,850,.259,.247,.320,.309,.335,.305,.293,.279,3,.306,.076,12.9,82.3,90.3,9,139,19.5,0.8,0.6
"Turner, Trea",2043,2043,100.0,539,505,408,149,103,25,0,21,98,18.2,27,5.0,287,"1,098",.295,.264,.338,.309,.469,.419,.349,.318,28,.331,.174,26.1,89.1,92.0,12,154,40.7,6.9,5.2
"Varsho, Daulton",2039,2039,100.0,510,457,324,98,52,21,7,18,135,26.5,47,9.2,261,973,.214,.187,.293,.268,.409,.317,.305,.262,20,.262,.195,26.8,84.5,91.5,24,158,34.0,6.2,3.9
"France, Ty",2028,2028,100.0,535,479,370,112,75,24,0,13,114,21.3,38,7.1,251,"1,038",.234,.228,.305,.301,.365,.387,.296,.303,27,.277,.132,24.2,88.7,91.6,13,162,40.0,7.3,5.0
