Player,Pitches,Total,Pitch %,PA,AB,BIP,Hits,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,BABIP,ISO,Whiff%,EV (MPH),Adj. EV (MPH),LA (°),Dist (ft),Hard Hit%,Barrel/BBE%,Barrel/PA%
"Soto, Juan",2957,2957,100.0,709,574,460,166,90,31,4,41,118,16.6,127,17.9,237,"1,100",.289,.317,.419,.444,.571,.647,.422,.463,91,.298,.282,21.5,93.5,94.3,10,159,57.0,19.8,12.8
"Olson, Matt",2947,2947,100.0,679,600,435,148,81,37,1,29,170,25.0,65,9.6,385,"1,465",.247,.247,.327,.330,.457,.448,.339,.340,54,.293,.210,26.3,91.5,92.3,16,177,47.4,12.4,8.0
"Henderson, Gunnar",2896,2896,100.0,716,630,475,177,102,31,7,37,159,22.2,75,10.5,312,"1,281",.281,.283,.362,.366,.529,.492,.381,.373,53,.320,.248,24.4,92.8,93.1,9,156,53.9,11.2,7.4
"Judge, Aaron",2882,2882,100.0,683,558,390,180,85,36,1,58,170,24.9,113,16.5,371,"1,211",.323,.310,.443,.434,.703,.724,.476,.480,105,.367,.380,30.6,96.2,94.4,19,189,61.0,26.9,15.4
"Ozuna, Marcell",2874,2874,100.0,685,605,439,183,113,31,0,39,170,24.8,72,10.5,422,"1,344",.302,.287,.377,.366,.547,.573,.395,.402,68,.360,.245,31.4,92.2,93.0,14,173,53.5,15.5,9.9
"Paredes, Isaac",2853,2853,100.0,639,542,443,129,84,25,1,19,105,16.4,74,11.6,220,"1,276",.238,.220,.344,.331,.393,.337,.327,.304,20,.259,.155,17.2,85.0,91.3,22,163,27.1,4.5,3.1
"Schwarber, Kyle",2852,2852,100.0,688,573,384,142,82,22,0,38,197,28.6,102,14.8,365,"1,139",.248,.256,.362,.370,.485,.512,.366,.380,60,.301,.237,32.0,93.6,94.3,15,157,55.5,15.6,8.7
"Duran, Jarren",2844,2844,100.0,734,671,515,191,108,48,14,21,160,21.8,53,7.2,340,"1,373",.285,.275,.341,.333,.492,.453,.357,.342,48,.345,.207,24.8,90.2,92.2,9,159,43.9,9.3,6.5
"Ohtani, Shohei",2838,2838,100.0,721,636,479,197,98,38,7,54,162,22.5,71,9.8,400,"1,343",.310,.314,.382,.388,.646,.660,.431,.442,103,.336,.336,29.8,95.7,94.5,16,173,60.1,21.5,14.3
"Torres, Gleyber",2813,2813,100.0,664,586,460,151,110,26,0,15,136,20.5,65,9.8,295,"1,285",.258,.240,.331,.317,.379,.368,.313,.307,29,.307,.121,23.0,88.2,91.1,15,175,35.4,6.3,4.4
"Volpe, Anthony",2796,2796,100.0,688,637,486,155,109,27,7,12,156,22.7,41,6.0,304,"1,345",.243,.238,.292,.289,.364,.332,.287,.278,19,.303,.121,22.6,87.0,90.9,8,154,35.4,3.9,2.8
"Alonso, Pete",2780,2780,100.0,690,607,440,146,81,31,0,34,171,24.8,66,9.6,295,"1,192",.241,.243,.326,.329,.460,.462,.340,.343,58,.276,.219,24.7,89.8,92.8,14,160,46.4,13.2,8.4
"Arozarena, Randy",2774,2774,100.0,648,549,384,120,67,33,0,20,169,26.1,73,11.3,337,"1,136",.219,.219,.332,.335,.388,.381,.320,.324,32,.275,.169,29.7,90.4,92.1,13,151,43.5,8.3,4.9
"Cronenworth, Jake",2752,2752,100.0,656,577,463,139,90,29,3,17,118,18.0,61,9.3,212,"1,238",.241,.259,.324,.341,.390,.420,.315,.335,36,.274,.149,17.1,88.3,91.4,14,161,36.7,7.8,5.5
"De La Cruz, Elly",2751,2751,100.0,694,618,403,160,89,36,10,25,218,31.4,67,9.7,398,"1,193",.259,.240,.337,.320,.471,.428,.349,.328,51,.359,.212,33.4,90.9,92.7,10,151,45.7,12.7,7.3
"Nimmo, Brandon",2746,2746,100.0,660,569,416,128,77,25,3,23,156,23.6,76,11.5,287,"1,231",.225,.245,.327,.347,.401,.410,.321,.336,38,.267,.176,23.3,91.9,92.1,11,165,47.4,9.1,5.8
"Profar, Jurickson",2738,2738,100.0,664,564,473,158,105,29,0,24,101,15.2,72,10.8,213,"1,249",.280,.282,.376,.380,.459,.444,.365,.364,34,.302,.179,17.1,90.1,92.3,13,159,44.4,7.2,5.1
"Santander, Anthony",2738,2738,100.0,662,595,471,140,69,25,2,44,129,19.5,55,8.3,272,"1,362",.235,.228,.305,.301,.506,.445,.345,.324,55,.225,.271,20.0,89.8,91.9,23,172,41.6,11.7,8.3
"Ramírez, José",2735,2735,100.0,670,620,544,173,93,39,2,39,82,12.2,42,6.3,205,"1,352",.279,.259,.323,.307,.537,.453,.364,.329,47,.265,.258,15.2,89.2,92.6,20,167,39.7,8.6,7.0
"Adames, Willy",2733,2733,100.0,685,610,440,153,88,33,0,32,173,25.3,71,10.4,399,"1,352",.251,.243,.328,.321,.462,.461,.342,.339,53,.297,.211,29.5,88.6,91.6,21,171,40.7,12.0,7.7
"McMahon, Ryan",2723,2723,100.0,640,567,386,137,89,28,0,20,185,28.9,64,10.0,384,"1,278",.242,.243,.320,.323,.397,.414,.315,.324,42,.320,.155,30.0,92.0,92.1,10,163,49.7,10.9,6.6
"Happ, Ian",2721,2721,100.0,656,569,403,138,77,34,2,25,168,25.6,79,12.0,348,"1,249",.243,.243,.340,.341,.441,.446,.341,.345,47,.299,.199,27.9,90.6,92.2,15,164,45.2,11.7,7.2
"Goldschmidt, Paul",2717,2717,100.0,651,598,427,147,91,33,1,22,173,26.6,45,6.9,356,"1,296",.246,.255,.300,.309,.415,.450,.310,.329,46,.309,.169,27.5,91.2,92.4,13,166,49.6,10.8,7.1
"Lindor, Francisco",2713,2713,100.0,689,618,494,169,96,39,1,33,127,18.4,56,8.1,313,"1,322",.273,.283,.344,.353,.500,.528,.363,.379,67,.295,.227,23.7,90.8,92.6,17,171,47.4,13.6,9.7
"Chapman, Matt",2705,2705,100.0,642,574,418,142,74,39,2,27,158,24.6,60,9.3,284,"1,206",.247,.250,.324,.328,.463,.451,.340,.340,53,.294,.216,23.5,93.2,93.0,16,164,48.3,12.7,8.3
"Contreras, William",2677,2677,100.0,674,595,459,167,105,37,2,23,139,20.6,73,10.8,352,"1,268",.281,.269,.361,.351,.466,.471,.359,.358,46,.330,.185,27.8,92.8,93.3,6,147,49.5,10.0,6.8
"India, Jonathan",2652,2652,100.0,637,533,417,132,87,28,2,15,125,19.6,80,12.6,195,"1,017",.248,.266,.357,.376,.392,.412,.333,.352,32,.292,.144,19.2,86.9,91.4,13,152,36.5,7.7,5.0
"Carroll, Corbin",2648,2648,100.0,684,589,471,136,78,22,14,22,130,19.0,73,10.7,223,"1,096",.231,.241,.322,.334,.428,.391,.325,.324,34,.256,.197,20.3,88.8,92.4,12,144,40.8,7.2,5.0
"Semien, Marcus",2626,2626,100.0,716,650,546,154,102,27,2,23,105,14.7,62,8.7,265,"1,313",.237,.251,.306,.319,.391,.391,.306,.313,36,.250,.154,20.2,87.4,91.3,17,154,35.2,6.6,5.0
"Steer, Spencer",2621,2621,100.0,654,574,439,129,71,34,4,20,137,20.9,70,10.7,270,"1,167",.225,.235,.317,.326,.402,.379,.316,.314,28,.260,.178,23.1,87.9,91.6,17,157,39.9,6.4,4.3
"Hernández, Teoscar",2608,2608,100.0,649,589,402,160,93,32,2,33,188,29.0,50,7.7,454,"1,334",.272,.250,.336,.317,.501,.486,.360,.346,60,.344,.229,34.0,90.6,92.3,10,164,46.8,14.9,9.2
"Reynolds, Bryan",2604,2604,100.0,689,622,469,171,115,29,3,24,156,22.6,54,7.8,386,"1,313",.275,.270,.341,.339,.447,.463,.343,.350,45,.330,.172,29.4,89.9,92.0,9,153,45.4,9.6,6.5
"Witt Jr., Bobby",2600,2600,100.0,700,636,538,211,123,45,11,32,106,15.1,48,6.9,296,"1,330",.332,.315,.381,.370,.588,.577,.410,.407,77,.354,.256,22.3,92.7,93.2,15,178,48.3,14.3,11.0
"Ward, Taylor",2598,2598,100.0,662,584,429,143,90,26,2,25,163,24.6,63,9.5,287,"1,123",.245,.251,.322,.331,.425,.458,.325,.344,56,.292,.180,25.6,90.9,91.8,17,179,42.4,13.1,8.5
