Player,Pitches,Total,Pitch %,PA,AB,BIP,Hits,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,BABIP,ISO,Whiff%,EV (MPH),Adj. EV (MPH),LA (°),Dist (ft),Hard Hit%,Barrel/BBE%,Barrel/PA%,Year
"Wong, Kolten",459,459,100.0,121,107,87,29,21,6,0,2,22,18.2,10,8.3,52,221,.271,.221,.339,.297,.383,.331,.318,.280,2,.318,.112,23.5,85.2,90.6,14,146,24.1,2.3,1.7,2024
"Bote, David",459,459,100.0,123,108,91,28,12,8,1,7,18,14.6,12,9.8,56,220,.259,.293,.341,.371,.546,.534,.376,.386,8,.250,.287,25.5,90.0,92.7,13,138,48.4,8.8,6.5,2024
"Lee, Brooks",456,456,100.0,134,122,103,38,22,8,0,8,19,14.2,12,9.0,58,221,.311,.274,.373,.340,.574,.432,.404,.338,7,.316,.262,26.2,86.4,91.2,8,136,30.1,6.8,5.2,2024
"Sosa, Lenyn",456,456,100.0,113,102,84,28,14,8,0,6,20,17.7,9,8.0,43,214,.275,.270,.330,.327,.529,.522,.365,.360,11,.286,.255,20.1,89.0,91.5,15,168,44.0,13.1,9.7,2024
"Short, Zack",454,454,100.0,108,88,62,19,15,3,1,0,27,25.0,18,16.7,52,186,.216,.218,.355,.357,.273,.336,.296,.318,3,.311,.057,28.0,84.5,90.1,24,173,25.8,4.8,2.8,2024
"Jackson, Alex",454,454,100.0,117,105,78,25,11,5,1,8,27,23.1,11,9.4,87,244,.238,.236,.316,.314,.533,.462,.361,.335,8,.243,.295,35.7,91.9,93.3,18,163,51.3,10.3,6.8,2024
"Trimble, Fenwick",450,450,100.0,127,120,100,31,25,4,2,0,21,16.5,5,3.9,51,233,.258,.244,.294,.280,.325,.324,.273,.267,3,.313,.067,21.9,85.4,91.3,5,146,33.0,3.0,2.4,2024
"Reinheimer, Jack",446,446,100.0,109,104,81,18,12,5,0,1,24,22.0,4,3.7,77,237,.173,.217,.202,.249,.250,.258,.199,.228,0,.212,.077,32.5,79.8,89.2,16,147,9.9,0.0,0.0,2024
"Caba, Starlyn  MLB #81 / #MIA #3",445,445,100.0,115,95,82,17,16,1,0,0,15,13.0,16,13.9,25,170,.179,.204,.304,.326,.189,.258,.242,.275,1,.207,.011,14.7,83.3,89.6,5,132,9.8,1.2,0.9,2024
"Locastro, Tim",445,445,100.0,120,96,81,32,22,8,0,2,18,15.0,11,9.2,48,191,.333,.279,.449,.406,.479,.382,.409,.358,1,.390,.146,25.1,83.7,90.5,16,152,29.6,1.2,0.8,2024
"Stewart, DJ",444,444,100.0,106,82,50,23,15,5,0,3,33,31.1,19,17.9,83,207,.280,.237,.434,.407,.451,.396,.393,.367,7,.426,.171,40.1,89.6,91.3,14,153,44.0,14.0,6.6,2024
"Gonzalez, Alvaro",444,444,100.0,114,97,67,16,12,3,1,0,30,26.3,14,12.3,61,198,.165,.158,.289,.284,.216,.244,.243,.250,3,.239,.052,30.8,86.0,91.5,20,147,26.9,4.5,2.6,2024
"Piscotty, Stephen",440,440,100.0,118,108,74,19,14,4,0,1,34,28.8,9,7.6,81,244,.176,.202,.246,.270,.241,.268,.223,.245,2,.247,.065,33.2,83.9,91.0,9,128,32.4,2.7,1.7,2024
"Tait, Eduardo  PHI #4",438,438,100.0,114,104,73,28,18,5,0,5,33,28.9,8,7.0,68,243,.269,.236,.316,.294,.462,.379,.332,.297,4,.338,.192,28.0,87.7,91.3,13,161,43.8,5.5,3.5,2024
"Fajardo, Yoyner",438,438,100.0,114,105,72,24,18,2,0,4,34,29.8,6,5.3,92,240,.229,.196,.274,.247,.362,.271,.278,.235,2,.294,.133,38.3,87.5,90.7,11,138,34.7,2.8,1.8,2024
"Castellano, Angelo",438,438,100.0,119,112,83,27,20,3,0,4,30,25.2,6,5.0,59,218,.241,.171,.280,.213,.375,.234,.286,.202,2,.295,.134,27.1,79.7,89.8,13,132,18.1,2.4,1.7,2024
"Turconi, Michael",436,436,100.0,105,97,62,19,16,3,0,0,35,33.3,8,7.6,54,183,.196,.208,.257,.269,.227,.261,.223,.242,0,.306,.031,29.5,86.6,90.1,7,157,22.6,0.0,0.0,2024
"Crow-Armstrong, Pete",434,434,100.0,116,110,78,28,12,9,2,5,32,27.6,5,4.3,70,263,.255,.230,.293,.270,.509,.423,.340,.298,6,.315,.255,26.6,87.9,91.9,17,161,44.9,7.7,5.2,2024
"Quero, Edgar  MLB #59 / #CWS #6",434,434,100.0,110,95,75,28,20,4,0,4,21,19.1,13,11.8,47,207,.295,.262,.382,.355,.463,.357,.368,.321,3,.338,.168,22.7,87.3,90.7,7,157,30.7,4.0,2.7,2024
"Piper, Kenny",432,432,100.0,115,101,69,19,9,5,0,5,33,28.7,11,9.6,76,210,.188,.205,.278,.293,.386,.414,.291,.307,7,.219,.198,36.2,88.9,91.0,30,185,37.7,10.1,6.1,2024
"Edwards, Xavier",430,430,100.0,119,109,100,36,26,8,1,1,11,9.2,8,6.7,27,204,.330,.314,.376,.361,.450,.387,.360,.331,0,.361,.119,13.2,82.0,89.7,7,160,17.0,0.0,0.0,2024
"Petrutz, Ian",429,429,100.0,115,90,81,31,24,6,1,0,10,8.7,17,14.8,35,190,.344,.289,.482,.439,.433,.363,.413,.371,1,.388,.089,18.4,88.5,91.0,1,130,30.9,1.2,0.9,2024
"Jones, Jahmai",428,428,100.0,119,102,79,31,21,5,1,4,25,21.0,11,9.2,51,199,.304,.253,.390,.352,.490,.422,.382,.350,6,.365,.186,25.6,85.1,92.9,12,145,41.8,7.6,5.0,2024
"Jenkins, Andrew",427,427,100.0,118,109,78,26,16,8,0,2,32,27.1,6,5.1,61,233,.239,.256,.288,.304,.367,.400,.287,.307,4,.316,.128,26.2,86.4,90.9,12,150,37.2,5.1,3.4,2024
"Johnson, Brett",422,422,100.0,92,76,49,16,6,5,3,2,27,29.3,16,17.4,52,167,.211,.186,.348,.327,.434,.335,.342,.303,4,.298,.224,31.1,84.9,90.8,15,150,36.7,8.2,4.3,2024
"De Goti, Alex",422,422,100.0,107,94,73,25,21,3,0,1,23,21.5,10,9.3,43,197,.266,.205,.343,.288,.330,.267,.304,.255,0,.343,.064,21.8,84.3,90.0,12,150,26.0,0.0,0.0,2024
"Pages, Andy",422,422,100.0,114,101,81,36,22,5,1,8,21,18.4,10,8.8,46,215,.356,.311,.421,.381,.663,.603,.456,.415,10,.384,.307,21.4,90.5,92.1,20,163,44.4,12.3,8.8,2024
"García, Leury",422,422,100.0,116,100,84,32,23,6,2,1,21,18.1,9,7.8,61,234,.320,.253,.374,.324,.450,.376,.354,.311,5,.378,.130,26.1,85.0,91.0,9,143,29.8,6.0,4.3,2024
"Berry, Jacob  MIA #24",418,418,100.0,102,91,75,22,15,4,1,2,18,17.6,9,8.8,41,204,.242,.220,.304,.289,.374,.322,.295,.275,2,.274,.132,20.1,89.9,91.3,13,159,42.7,2.7,2.0,2024
"Choi, Ji Man",418,418,100.0,104,84,58,16,10,2,0,4,29,27.9,17,16.3,59,189,.190,.212,.317,.336,.357,.398,.300,.321,6,.222,.167,31.2,91.4,92.0,13,180,46.6,10.3,5.8,2024
"DeBarge, Kyle  MIN #9",414,414,100.0,109,96,69,23,17,2,3,1,27,24.8,12,11.0,38,179,.240,.221,.330,.314,.354,.310,.306,.284,2,.324,.115,21.2,86.8,90.5,2,139,34.8,2.9,1.8,2024
"Dezenzo, Zach  HOU #6",413,413,100.0,112,96,72,32,19,8,0,5,25,22.3,14,12.5,46,181,.333,.294,.420,.393,.573,.507,.423,.390,10,.403,.240,25.4,90.3,92.5,8,164,51.4,13.9,8.9,2024
"Clayton, Matthew",412,412,100.0,103,79,60,22,17,3,0,2,20,19.4,12,11.7,40,181,.278,.255,.437,.420,.392,.314,.379,.349,0,.345,.114,22.1,81.3,89.5,11,142,20.0,0.0,0.0,2024
"Knowles, D'Shawn",412,412,100.0,100,84,63,17,14,2,0,1,23,23.0,14,14.0,58,197,.202,.173,.313,.289,.262,.227,.268,.247,0,.262,.060,29.4,79.3,89.9,4,121,19.0,0.0,0.0,2024
"Pinckney, Andrew  WAS #28",411,411,100.0,93,83,46,21,17,2,1,1,37,39.8,7,7.5,87,202,.253,.201,.333,.287,.337,.325,.302,.276,3,.444,.084,43.1,86.3,91.0,-1,145,41.3,6.5,3.2,2024
"Alderman, Kemp  MIA #13",411,411,100.0,121,108,83,27,15,6,1,5,28,23.1,9,7.4,60,229,.250,.236,.306,.307,.463,.472,.327,.342,11,.282,.213,26.2,90.6,92.9,7,136,49.4,13.3,9.1,2024
