Player,Pitches,Total,Pitch %,PA,AB,BIP,Hits,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,BABIP,ISO,Whiff%,EV (MPH),Adj. EV (MPH),LA (°),Dist (ft),Hard Hit%,Barrel/BBE%,Barrel/PA%,Year
"Wagaman, Eric",365,365,100.0,107,100,87,32,22,5,2,3,14,13.1,6,5.6,35,194,.320,.304,.355,.340,.500,.514,.366,.365,7,.345,.180,18.0,89.6,93.3,14,158,47.1,8.0,6.5,2024
"Madron, Bryce",365,365,100.0,90,73,60,17,15,2,0,0,14,15.6,16,17.8,30,152,.233,.218,.367,.355,.260,.307,.297,.308,1,.283,.027,19.7,84.6,90.0,13,146,23.3,1.7,1.1,2024
"González, Luis",363,363,100.0,91,78,55,22,15,5,2,0,24,26.4,10,11.0,40,167,.282,.196,.374,.300,.397,.272,.341,.265,3,.400,.115,24.0,83.9,91.1,7,152,32.7,5.5,3.3,2024
"Bradley Jr., Jackie",363,363,100.0,94,86,64,18,10,5,1,2,23,24.5,7,7.4,50,185,.209,.232,.266,.292,.360,.363,.272,.288,2,.258,.151,27.0,86.5,91.1,13,130,32.8,3.1,2.1,2024
"Munoz, Yeuni",361,361,100.0,98,82,44,13,8,3,1,1,39,39.8,12,12.2,85,187,.159,.165,.286,.292,.256,.251,.254,.257,4,.279,.098,45.5,88.2,91.2,11,147,34.1,9.1,4.1,2024
"Campos, Ryan  STL #22",359,359,100.0,105,90,80,29,21,8,0,0,12,11.4,13,12.4,22,153,.322,.213,.400,.308,.411,.286,.357,.273,1,.362,.089,14.4,88.0,91.4,1,136,31.3,1.3,1.0,2024
"Jones, Nolan",357,357,100.0,83,71,44,19,8,7,1,3,27,32.5,9,10.8,38,130,.268,.260,.373,.367,.521,.529,.385,.386,8,.390,.254,29.2,95.6,93.7,8,176,68.2,18.2,9.6,2024
"Delossantos, Joe",356,356,100.0,86,70,44,20,14,6,0,0,26,30.2,14,16.3,50,140,.286,.217,.419,.363,.371,.259,.360,.298,0,.455,.086,35.7,85.9,90.7,11,146,36.4,0.0,0.0,2024
"DeMartini, Carson  PHI #16",353,353,100.0,104,92,79,29,20,5,2,2,14,13.5,9,8.7,35,175,.315,.241,.385,.322,.478,.337,.373,.298,3,.351,.163,20.0,87.1,91.2,19,166,29.1,3.8,2.9,2024
"Valenzuela, Brandon  SD #13",353,353,100.0,90,77,58,15,12,3,0,0,21,23.3,11,12.2,53,176,.195,.240,.292,.333,.234,.321,.246,.297,2,.263,.039,30.1,88.8,91.3,11,164,46.6,3.4,2.2,2024
"Fitzgerald, Tyler",353,353,100.0,87,71,50,22,9,5,0,8,24,27.6,9,10.3,38,148,.310,.185,.402,.302,.718,.335,.456,.286,4,.333,.408,25.7,88.1,91.4,21,162,38.0,8.0,4.6,2024
"Gallo, Joey",352,352,100.0,82,62,39,11,4,1,0,6,23,28.0,19,23.2,50,141,.177,.142,.378,.351,.484,.325,.377,.315,5,.152,.306,35.5,86.2,91.3,22,169,33.3,12.8,6.1,2024
"Diaw, Khadim  MIN #27",351,351,100.0,93,80,66,22,18,3,0,1,14,15.1,11,11.8,30,157,.275,.228,.376,.336,.350,.321,.330,.301,2,.323,.075,19.1,87.7,91.6,2,131,39.4,3.0,2.2,2024
"Hernandez, Elier",349,349,100.0,88,76,55,22,13,6,1,2,21,23.9,11,12.5,37,156,.289,.257,.386,.359,.474,.401,.375,.337,4,.377,.184,23.7,84.0,91.3,15,155,34.5,7.3,4.5,2024
"Pino, Yassel",348,348,100.0,86,76,54,17,11,4,0,2,23,26.7,7,8.1,58,178,.224,.225,.302,.304,.355,.317,.292,.281,4,.288,.132,32.6,85.9,90.5,16,141,29.6,7.4,4.7,2024
"Bañuelos, David",348,348,100.0,86,71,46,16,11,3,0,2,25,29.1,13,15.1,43,152,.225,.186,.360,.328,.352,.289,.325,.289,2,.318,.127,28.3,88.0,90.5,14,148,30.4,4.3,2.3,2024
"Sacco Jr., Tommy",348,348,100.0,84,69,48,19,13,5,0,1,22,26.2,14,16.7,37,141,.275,.237,.393,.368,.391,.306,.350,.316,1,.383,.116,26.2,85.6,90.5,15,158,27.1,2.1,1.2,2024
"Smith, Dominic",348,348,100.0,88,80,54,21,16,3,0,2,26,29.5,7,8.0,43,151,.263,.247,.330,.316,.375,.408,.313,.317,4,.365,.113,28.5,90.1,90.9,17,157,35.2,7.4,4.5,2024
"Morabito, Nick  NYM #18",347,347,100.0,82,61,45,22,18,1,2,1,16,19.5,16,19.5,30,132,.361,.224,.519,.416,.492,.269,.448,.334,0,.477,.131,22.7,90.3,91.2,4,133,42.2,0.0,0.0,2024
"Micheletti Jr., Eddie",346,346,100.0,90,72,59,21,13,6,0,2,14,15.6,13,14.4,34,128,.292,.214,.422,.365,.458,.288,.388,.310,1,.333,.167,26.6,84.7,91.0,12,142,23.7,1.7,1.1,2024
"Day, Brady",344,344,100.0,87,77,62,15,14,1,0,0,16,18.4,8,9.2,28,137,.195,.182,.276,.266,.208,.233,.228,.233,1,.242,.013,20.4,82.9,89.7,14,134,11.3,1.6,1.1,2024
"Cruz, Rafael",343,343,100.0,98,94,64,19,12,6,1,0,30,30.6,3,3.1,74,198,.202,.213,.235,.245,.287,.294,.229,.238,2,.297,.085,37.4,88.1,91.1,8,136,39.1,3.1,2.0,2024
"Stevens, Chad",343,343,100.0,91,84,60,20,11,9,0,0,25,27.5,3,3.3,48,167,.238,.226,.289,.277,.345,.328,.280,.270,3,.339,.107,28.7,83.5,90.5,12,157,28.3,5.0,3.3,2024
"Warmoth, Logan",342,342,100.0,94,75,58,13,11,1,0,1,21,22.3,12,12.8,41,164,.173,.222,.304,.346,.227,.274,.255,.290,0,.218,.053,25.0,84.1,89.9,22,160,24.1,0.0,0.0,2024
"Robertis, Robert",341,341,100.0,85,70,50,15,10,4,0,1,22,25.9,12,14.1,53,165,.214,.216,.329,.333,.314,.297,.293,.292,2,.286,.100,32.1,87.7,90.4,12,165,24.0,4.0,2.4,2024
"Cunningham, Carter",341,341,100.0,91,66,50,13,10,1,0,2,19,20.9,17,18.7,33,139,.197,.219,.385,.402,.303,.306,.324,.337,1,.229,.106,23.7,86.3,90.2,21,156,22.0,2.0,1.1,2024
"Pinder, Chase",341,341,100.0,80,64,47,16,12,3,0,1,17,21.3,15,18.8,28,117,.250,.248,.400,.399,.344,.350,.343,.346,1,.326,.094,23.9,86.4,91.6,6,126,42.6,2.1,1.3,2024
"Castro, Wilfri",339,339,100.0,78,62,39,14,11,2,0,1,23,29.5,14,17.9,37,127,.226,.142,.385,.320,.306,.214,.325,.265,1,.342,.081,29.1,82.2,89.9,18,131,17.9,2.6,1.3,2024
"Kolozsvary, Mark",339,339,100.0,83,65,40,12,7,2,0,3,26,31.3,11,13.3,48,127,.185,.213,.349,.378,.354,.428,.322,.366,6,.243,.169,37.8,84.9,91.2,15,150,40.0,15.0,7.2,2024
"Duran, Gregory",338,338,100.0,90,81,47,18,14,1,1,2,35,38.9,6,6.7,66,177,.222,.210,.289,.278,.333,.322,.276,.268,2,.356,.111,37.3,88.0,91.5,7,139,36.2,4.3,2.2,2024
"Basallo, Samuel  MLB #13 / #BAL #2",338,338,100.0,85,80,53,17,12,3,0,2,27,31.8,5,5.9,63,172,.212,.208,.259,.254,.325,.342,.258,.261,3,.294,.113,36.6,91.1,92.3,2,146,47.2,5.7,3.5,2024
"De Los Santos, Yordany  PIT #13",337,337,100.0,85,72,54,14,11,3,0,0,19,22.4,12,14.1,52,165,.194,.195,.310,.311,.236,.251,.259,.266,1,.264,.042,31.5,82.5,89.9,5,132,18.5,1.9,1.2,2024
"Triantos, James  MLB #55 / #CHC #5",337,337,100.0,93,85,71,26,20,5,1,0,15,16.1,7,7.5,28,171,.306,.252,.355,.308,.388,.312,.326,.279,1,.366,.082,16.4,85.9,90.8,2,139,28.2,1.4,1.1,2024
"Lee, Patrick",335,335,100.0,85,65,48,20,16,2,0,2,17,20.0,17,20.0,46,135,.308,.257,.471,.434,.431,.386,.407,.375,3,.391,.123,34.1,88.0,91.2,8,148,35.4,6.3,3.5,2024
"Grant, Adari",334,334,100.0,82,75,44,9,7,1,0,1,31,37.8,6,7.3,61,169,.120,.155,.195,.227,.173,.189,.175,.196,0,.186,.053,36.1,77.6,88.8,15,129,13.6,0.0,0.0,2024
"Kross, Josh",334,334,100.0,94,74,64,16,10,5,1,0,10,10.6,15,16.0,38,157,.216,.255,.383,.413,.311,.403,.326,.371,5,.250,.095,24.2,88.8,91.7,7,135,42.2,7.8,5.3,2024
"Freethy, J.R.",331,331,100.0,74,55,37,10,9,0,0,1,18,24.3,15,20.3,25,112,.182,.188,.392,.397,.236,.225,.314,.312,0,.250,.055,22.3,83.8,89.3,17,145,16.2,0.0,0.0,2024
"Pitelli, Dominic",331,331,100.0,82,70,49,21,10,9,1,1,21,25.6,12,14.6,45,145,.300,.192,.402,.310,.500,.275,.390,.273,1,.417,.200,31.0,83.5,90.3,17,155,30.6,2.0,1.2,2024
"Casali, Curt",330,330,100.0,88,69,54,25,16,7,0,2,16,18.2,15,17.0,33,122,.362,.248,.489,.399,.551,.404,.449,.360,4,.442,.188,27.0,89.7,91.7,14,154,38.9,7.4,4.5,2024
"Cope, Daniel",328,328,100.0,85,77,41,11,9,0,0,2,36,42.4,8,9.4,63,165,.143,.150,.224,.231,.221,.200,.206,.203,1,.231,.078,38.2,84.7,89.7,7,146,17.1,2.4,1.2,2024
"Spikerman, John  PHI #11",326,326,100.0,75,62,42,14,9,4,1,0,20,26.7,9,12.0,43,132,.226,.150,.360,.298,.323,.194,.315,.245,0,.333,.097,32.6,84.8,89.4,7,146,19.0,0.0,0.0,2024
"Tolbert, Tyler",325,325,100.0,90,78,54,11,9,2,0,0,25,27.8,9,10.0,59,176,.141,.149,.247,.254,.167,.201,.203,.219,1,.208,.026,33.5,81.8,90.1,8,136,20.4,1.9,1.1,2024
"Hiraldo, Miguel",324,324,100.0,83,73,45,15,13,2,0,0,29,34.9,7,8.4,59,179,.205,.186,.289,.272,.233,.248,.244,.240,1,.333,.027,33.0,85.8,89.9,7,135,28.9,2.2,1.2,2024
"Bowens, TT",323,323,100.0,94,84,63,13,5,5,0,3,22,23.4,9,9.6,56,161,.155,.208,.234,.282,.321,.423,.245,.304,5,.167,.167,34.8,86.8,92.0,14,153,41.3,7.9,5.3,2024
"Barnhart, Tucker",323,323,100.0,82,75,65,14,9,5,0,0,11,13.4,6,7.3,35,152,.187,.145,.247,.208,.253,.182,.226,.182,0,.219,.067,23.0,82.8,89.8,19,129,12.3,0.0,0.0,2024
"Redmond, Chandler",321,321,100.0,74,65,35,13,7,4,0,2,30,40.5,9,12.2,63,148,.200,.208,.297,.305,.354,.417,.290,.315,4,.333,.154,42.6,91.9,92.2,5,137,54.3,11.4,5.4,2024
"Veen, Zac  MLB #83 / #COL #3",321,321,100.0,92,82,61,18,9,3,0,6,24,26.1,7,7.6,47,169,.220,.195,.281,.258,.476,.375,.324,.277,6,.231,.256,27.8,82.3,91.1,4,141,37.7,9.8,6.5,2024
"Thomason, Jay",318,318,100.0,79,70,56,16,12,2,0,2,14,17.7,9,11.4,31,152,.229,.206,.316,.296,.343,.364,.296,.293,3,.259,.114,20.4,88.0,90.8,13,167,30.4,5.4,3.8,2024
"Parker, Aaron",314,314,100.0,82,65,43,14,4,6,0,4,22,26.8,15,18.3,38,108,.215,.205,.378,.370,.492,.387,.378,.343,6,.256,.277,35.2,94.5,94.1,11,151,58.1,14.0,7.3,2024
"Aguilar, Tayler",312,312,100.0,73,54,29,6,4,1,0,1,25,34.2,17,23.3,47,114,.111,.140,.342,.364,.185,.227,.274,.296,2,.179,.074,41.2,85.6,90.3,23,172,20.7,6.9,2.7,2024
"Suero, Christopher",311,311,100.0,80,66,49,15,10,2,1,2,17,21.3,8,10.0,37,134,.227,.191,.362,.332,.379,.315,.336,.301,3,.277,.152,27.6,84.6,90.6,19,157,24.5,6.1,3.8,2024
"Campana, Sergio",311,311,100.0,75,59,34,13,9,3,0,1,27,36.0,12,16.0,54,126,.220,.153,.347,.293,.322,.249,.306,.257,3,.375,.102,42.9,82.8,90.1,9,137,23.5,8.8,4.0,2024
"Harrison, Kalae",310,310,100.0,80,68,50,14,11,2,0,1,20,25.0,10,12.5,45,139,.206,.188,.304,.290,.279,.247,.268,.254,0,.271,.074,32.4,79.5,89.8,7,139,18.0,0.0,0.0,2024
"Palencia, Manuel",310,310,100.0,102,96,85,27,21,6,0,0,12,11.8,5,4.9,29,172,.281,.273,.314,.308,.344,.364,.289,.297,2,.318,.063,16.9,88.2,91.7,4,142,38.8,2.4,2.0,2024
"Hostetler, Bennett",308,308,100.0,83,79,50,21,14,5,1,1,29,34.9,4,4.8,53,162,.266,.223,.301,.260,.392,.354,.301,.269,4,.408,.127,32.7,87.7,91.5,7,151,38.0,8.0,4.8,2024
"McGee, Cade",307,307,100.0,77,66,49,13,11,1,0,1,19,24.7,9,11.7,25,125,.197,.198,.289,.299,.258,.272,.253,.268,1,.255,.061,20.0,81.4,89.7,9,136,18.4,2.0,1.3,2024
"Fana, Nomar",307,307,100.0,77,67,45,13,3,7,1,2,24,31.2,8,10.4,59,150,.194,.169,.273,.265,.418,.271,.294,.253,3,.256,.224,39.3,84.7,90.8,14,142,31.1,6.7,3.9,2024
"Tibbitts, Brock",304,304,100.0,78,67,57,19,14,4,0,1,11,14.1,9,11.5,18,129,.284,.271,.372,.364,.388,.370,.338,.331,2,.321,.104,14.0,82.2,90.3,15,155,33.3,3.5,2.6,2024
"Mulrine, Anthony",303,303,100.0,80,67,52,16,12,3,0,1,18,22.5,8,10.0,55,178,.239,.220,.338,.321,.328,.263,.303,.274,0,.313,.090,30.9,81.8,90.0,6,131,28.8,0.0,0.0,2024
"Biggio, Cavan",302,302,100.0,68,48,35,8,5,1,0,2,14,20.6,17,25.0,18,113,.167,.152,.397,.389,.313,.259,.337,.320,1,.182,.146,15.9,89.8,90.7,25,161,40.0,2.9,1.5,2024
"Amick, Billy  MIN #11",302,302,100.0,76,62,49,14,8,3,0,3,14,18.4,12,15.8,40,134,.226,.255,.355,.381,.419,.441,.342,.362,5,.239,.194,29.9,88.5,91.9,7,133,42.9,10.2,6.6,2024
"Estrada, Thairo",302,302,100.0,83,75,62,25,19,3,0,3,14,16.9,5,6.0,27,148,.333,.259,.390,.323,.493,.379,.385,.312,2,.379,.160,18.2,82.6,90.7,4,119,27.4,3.2,2.4,2024
"Graham, Carter",301,301,100.0,85,72,58,13,8,5,0,0,16,18.8,8,9.4,39,148,.181,.220,.282,.324,.250,.339,.247,.304,5,.224,.069,26.4,87.1,90.5,14,149,27.6,8.6,5.9,2024
"Haggerty, Sam",300,300,100.0,81,71,53,22,20,2,0,0,19,23.5,8,9.9,37,139,.310,.235,.388,.321,.338,.284,.330,.278,0,.423,.028,26.6,85.6,91.6,9,130,35.8,0.0,0.0,2024
"Cooper, Garrett",299,299,100.0,84,71,53,22,15,3,0,4,20,23.8,9,10.7,44,149,.310,.311,.393,.403,.521,.504,.391,.403,5,.367,.211,29.5,91.4,92.5,12,161,52.8,9.4,6.0,2024
"Montilla, Franyerber  DET #13",299,299,100.0,72,59,36,6,4,2,0,0,23,31.9,9,12.5,45,128,.102,.156,.264,.309,.136,.194,.210,.250,0,.167,.034,35.2,83.6,89.7,15,148,19.4,0.0,0.0,2024
"Duran, Edinson",297,297,100.0,88,78,58,17,10,4,3,0,20,22.7,6,6.8,44,146,.218,.200,.307,.292,.346,.255,.291,.256,1,.293,.128,30.1,84.2,90.6,15,134,22.4,1.7,1.1,2024
"Duno, Alfredo  CIN #7",295,295,100.0,64,49,36,13,10,1,1,1,15,23.4,12,18.8,41,126,.265,.192,.406,.352,.388,.353,.355,.321,3,.343,.122,32.5,88.5,91.5,19,151,44.4,8.3,4.7,2024
"Jarvis, Mike",294,294,100.0,71,62,40,13,9,1,1,2,23,32.4,7,9.9,50,148,.210,.203,.296,.290,.355,.310,.288,.270,2,.289,.145,33.8,88.1,91.0,12,113,32.5,5.0,2.8,2024
"Duran, Ezequiel",294,294,100.0,86,83,64,23,12,4,2,5,19,22.1,3,3.5,40,167,.277,.264,.302,.290,.554,.402,.362,.299,5,.305,.277,24.0,88.0,91.6,13,147,42.2,7.8,5.8,2024
"Whalen, Brady",293,293,100.0,75,63,43,9,6,3,0,0,21,28.0,11,14.7,39,138,.143,.148,.267,.272,.190,.203,.222,.231,0,.209,.048,28.3,84.7,90.9,8,127,20.9,0.0,0.0,2024
"Dragoo, Joel",292,292,100.0,65,47,33,15,9,6,0,0,14,21.5,15,23.1,25,100,.319,.262,.508,.466,.447,.307,.430,.372,0,.455,.128,25.0,82.3,89.1,17,155,12.1,0.0,0.0,2024
"Richardson, Tre",291,291,100.0,69,56,36,5,3,0,2,0,22,31.9,8,11.6,34,116,.089,.154,.235,.295,.161,.216,.199,.252,1,.143,.071,29.3,83.8,90.6,10,140,33.3,2.8,1.4,2024
"Díaz, Yusniel",291,291,100.0,67,51,38,9,5,1,0,3,14,20.9,15,22.4,31,106,.176,.227,.358,.397,.373,.445,.331,.370,4,.171,.196,29.2,88.8,91.7,16,173,44.7,10.5,6.0,2024
"Snyder, Michael",288,288,100.0,69,60,37,9,8,1,0,0,23,33.3,7,10.1,28,121,.150,.145,.261,.256,.167,.188,.211,.216,0,.243,.017,23.1,85.8,90.6,15,151,32.4,0.0,0.0,2024
"Matheny, Shane",287,287,100.0,68,58,39,18,11,5,1,1,20,29.4,9,13.2,44,127,.310,.227,.403,.331,.483,.379,.385,.315,5,.459,.172,34.6,84.1,90.5,12,150,28.2,12.8,7.4,2024
"Kemp, Otto  PHI #25",286,286,100.0,73,59,38,16,10,4,1,1,21,28.8,7,9.6,47,128,.271,.216,.411,.366,.424,.298,.375,.314,1,.405,.153,36.7,88.9,91.4,10,147,36.8,2.6,1.4,2024
"Shuffield, Dalton",286,286,100.0,82,74,53,16,10,4,1,1,22,26.8,6,7.3,38,141,.216,.189,.284,.262,.338,.249,.276,.237,0,.294,.122,27.0,82.9,91.2,2,129,30.2,0.0,0.0,2024
"Caskenette, Connor",285,285,100.0,76,68,51,14,11,3,0,0,17,22.4,8,10.5,27,131,.206,.203,.289,.287,.250,.256,.250,.252,0,.275,.044,20.6,87.7,91.0,4,146,37.3,0.0,0.0,2024
"Rataczak, Eric",285,285,100.0,77,67,48,19,16,3,0,0,19,24.7,7,9.1,41,129,.284,.261,.377,.357,.328,.330,.323,.314,1,.396,.045,31.8,91.0,92.1,0,126,52.1,2.1,1.3,2024
"Sosa, Miguel",284,284,100.0,68,55,33,11,6,4,0,1,23,33.8,12,17.6,36,111,.200,.159,.343,.310,.327,.246,.308,.266,1,.323,.127,32.4,85.1,91.1,23,137,36.4,3.0,1.5,2024
"Toole, Marshall",284,284,100.0,69,51,33,13,10,2,0,1,18,26.1,15,21.7,30,96,.255,.248,.449,.444,.353,.306,.375,.359,0,.375,.098,31.3,87.7,90.4,11,153,33.3,0.0,0.0,2024
"Ferrer, Jaime",283,283,100.0,87,73,65,21,13,8,0,0,9,10.3,6,6.9,25,138,.288,.254,.391,.364,.397,.334,.353,.320,3,.323,.110,18.1,85.6,90.7,8,143,23.1,4.6,3.4,2024
"Castro, Rodolfo",283,283,100.0,80,73,54,16,12,1,0,3,19,23.8,6,7.5,46,145,.219,.212,.287,.281,.356,.310,.285,.265,3,.255,.137,31.7,87.2,91.2,13,149,31.5,5.6,3.8,2024
"Bullard, Tony",283,283,100.0,79,68,54,14,12,1,0,1,16,20.3,5,6.3,28,120,.206,.250,.291,.335,.265,.335,.256,.305,1,.245,.059,23.3,87.4,91.8,11,135,37.0,1.9,1.3,2024
"Shaver, A.J.",281,281,100.0,75,67,36,7,5,0,0,2,32,42.7,5,6.7,53,133,.104,.140,.189,.221,.194,.247,.181,.214,3,.152,.090,39.8,87.2,91.5,14,145,47.2,8.3,4.0,2024
"Nori, Dante  PHI #6",280,280,100.0,66,50,36,12,11,0,1,0,14,21.2,16,24.2,28,106,.240,.213,.424,.403,.280,.245,.338,.320,0,.333,.040,26.4,81.3,88.7,3,137,5.6,0.0,0.0,2024
"Omana, Diego",279,279,100.0,76,64,48,18,15,2,0,1,19,25.0,9,11.8,37,140,.281,.196,.355,.292,.359,.244,.316,.257,1,.362,.078,26.4,81.7,89.7,15,165,16.7,2.1,1.3,2024
"Brown, Seth",276,276,100.0,77,72,59,29,19,3,0,7,15,19.5,3,3.9,36,152,.403,.320,.416,.339,.736,.578,.480,.384,7,.423,.333,23.7,89.6,92.3,10,153,42.4,11.9,9.1,2024
"Joyce, Corey",276,276,100.0,63,48,32,7,5,2,0,0,16,25.4,15,23.8,34,111,.146,.167,.349,.366,.188,.207,.274,.288,0,.219,.042,30.6,85.0,90.1,16,152,18.8,0.0,0.0,2024
"Henriquez, Yonatan",276,276,100.0,74,68,49,12,9,3,0,0,19,25.7,5,6.8,30,128,.176,.216,.243,.280,.221,.280,.214,.253,1,.245,.044,23.4,89.4,90.5,8,152,34.7,2.0,1.4,2024
"Kendle, Caden",267,267,100.0,73,64,56,19,13,6,0,0,8,11.0,8,11.0,19,107,.297,.243,.384,.336,.391,.316,.346,.298,1,.339,.094,17.8,83.9,90.9,9,140,26.8,1.8,1.4,2024
"Shockley, Dylan",264,264,100.0,74,66,49,17,11,4,0,2,18,24.3,4,5.4,42,138,.258,.233,.324,.305,.409,.295,.321,.276,0,.319,.152,30.4,84.4,90.1,7,147,28.6,0.0,0.0,2024
"Gordon, Nick",262,262,100.0,80,72,58,19,16,1,1,1,16,20.0,3,3.8,48,159,.264,.285,.313,.335,.347,.366,.290,.310,1,.316,.083,30.2,86.4,90.9,11,168,24.1,1.7,1.3,2024
"Yang, Eric",262,262,100.0,72,64,44,16,11,4,0,1,20,27.8,7,9.7,38,131,.250,.183,.333,.275,.359,.240,.310,.241,1,.349,.109,29.0,82.3,89.7,18,150,25.0,2.3,1.4,2024
"Kato, Kobe",260,260,100.0,69,59,45,21,14,6,1,0,15,21.7,8,11.6,27,106,.356,.288,.435,.378,.492,.374,.401,.338,0,.467,.136,25.5,84.4,90.4,14,160,24.4,0.0,0.0,2024
"Corona, Kenedy  HOU #23",256,256,100.0,71,63,46,12,10,1,0,1,19,26.8,5,7.0,43,140,.190,.156,.257,.231,.254,.199,.233,.203,0,.250,.063,30.7,80.4,90.3,1,98,30.4,0.0,0.0,2024
"Pérez, Wenceel",256,256,100.0,63,55,40,9,3,2,2,2,15,23.8,8,12.7,24,102,.164,.177,.270,.281,.382,.322,.285,.271,3,.184,.218,23.5,90.6,91.2,22,163,42.5,7.5,4.8,2024
"Green, Payton",256,256,100.0,65,49,37,9,7,2,0,0,14,21.5,13,20.0,36,118,.184,.179,.359,.360,.224,.258,.287,.301,0,.250,.041,30.5,85.9,91.2,11,139,40.5,0.0,0.0,2024
"Nevin, Tyler",256,256,100.0,63,54,45,16,5,6,1,4,11,17.5,6,9.5,24,121,.296,.235,.365,.313,.667,.431,.422,.319,5,.293,.370,19.8,90.4,91.2,17,185,40.0,11.1,7.9,2024
"Shojinaga, Kodey",256,256,100.0,58,42,38,6,6,0,0,0,4,6.9,15,25.9,19,93,.143,.252,.379,.458,.143,.301,.282,.366,0,.158,.000,20.4,81.3,89.4,7,147,18.4,0.0,0.0,2024
"Hassell III, Robert  WAS #13",255,255,100.0,69,64,47,8,6,2,0,0,17,24.6,5,7.2,40,125,.125,.188,.188,.247,.156,.261,.163,.230,2,.170,.031,32.0,85.0,90.7,4,145,25.5,4.3,2.9,2024
"Sanabria, Jose",253,253,100.0,71,65,46,13,9,3,1,0,20,28.2,4,5.6,43,142,.200,.207,.257,.264,.277,.250,.240,.235,1,.289,.077,30.3,77.9,89.1,2,152,17.4,2.2,1.4,2024
"Baez, Joshua",251,251,100.0,61,50,33,17,11,5,0,1,17,27.9,8,13.1,32,118,.340,.250,.459,.385,.500,.416,.421,.358,4,.500,.160,27.1,90.5,91.1,19,161,36.4,12.1,6.6,2024
"Thomas, Alek",250,250,100.0,69,63,53,18,12,4,0,2,11,15.9,5,7.2,20,113,.286,.268,.333,.319,.444,.400,.335,.314,3,.314,.159,17.7,89.8,92.3,7,155,43.4,5.7,4.3,2024
"Elvis, Cole",247,247,100.0,61,53,24,6,5,1,0,0,29,47.5,8,13.1,47,109,.113,.162,.230,.272,.132,.226,.183,.236,1,.250,.019,43.1,86.7,90.1,13,154,29.2,4.2,1.6,2024
"Schwecke, Trevor",247,247,100.0,65,56,34,12,11,1,0,0,22,33.8,7,10.8,45,120,.214,.225,.302,.311,.232,.257,.250,.265,0,.353,.018,37.5,86.0,90.2,3,124,29.4,0.0,0.0,2024
"Bender, Derek",246,246,100.0,65,58,39,12,8,2,0,2,19,29.2,5,7.7,42,129,.207,.205,.281,.279,.345,.339,.279,.275,2,.270,.138,32.6,89.6,91.0,21,165,38.5,5.1,3.1,2024
"Mendoza, Ramon",245,245,100.0,63,57,43,12,8,4,0,0,16,25.4,4,6.3,38,131,.211,.230,.254,.272,.281,.276,.235,.245,0,.279,.070,29.0,85.1,89.7,5,145,18.6,0.0,0.0,2024
"Lowe, Josh",245,245,100.0,55,51,27,13,9,0,1,3,24,43.6,4,7.3,42,119,.255,.206,.309,.263,.471,.374,.335,.279,3,.417,.216,35.3,93.7,91.6,19,168,55.6,11.1,5.5,2024
"Segura, Jean",244,244,100.0,60,51,39,7,4,3,0,0,13,21.7,6,10.0,32,111,.137,.149,.250,.261,.196,.218,.214,.227,1,.179,.059,28.8,85.3,90.3,13,155,25.6,2.6,1.7,2024
"O'Neill, Matt",243,243,100.0,59,50,30,8,4,3,0,1,22,37.3,7,11.9,47,106,.160,.127,.259,.234,.280,.225,.244,.218,1,.250,.120,44.3,85.4,90.6,10,147,36.7,3.3,1.7,2024
"Navarro, Cristopher",243,243,100.0,61,54,44,11,8,3,0,0,12,19.7,4,6.6,37,125,.204,.199,.262,.262,.259,.239,.234,.231,0,.250,.056,29.6,81.4,89.4,-1,129,13.6,0.0,0.0,2024
"Laureano, Ramón",242,242,100.0,66,58,42,21,14,3,1,3,17,25.8,6,9.1,31,105,.362,.313,.424,.382,.603,.513,.435,.384,4,.462,.241,29.5,89.9,92.8,17,161,47.6,9.5,6.1,2024
"Bramwell, Spencer",242,242,100.0,65,57,35,8,4,4,0,0,22,33.8,7,10.8,39,108,.140,.152,.246,.256,.211,.226,.217,.227,0,.229,.070,36.1,88.8,91.5,17,146,40.0,0.0,0.0,2024
"Rosario, Ricardo",242,242,100.0,66,61,42,13,9,4,0,0,19,28.8,3,4.5,44,127,.213,.195,.273,.256,.279,.245,.249,.230,1,.310,.066,34.6,82.2,90.2,2,135,31.0,2.4,1.5,2024
"Groshans, Jordan",241,241,100.0,63,57,46,13,10,2,0,1,11,17.5,6,9.5,18,103,.228,.237,.302,.309,.316,.382,.278,.304,3,.267,.088,17.5,92.6,92.6,6,158,54.3,6.5,4.8,2024
"Phillips, Brett",240,240,100.0,57,50,23,6,1,3,1,1,27,47.4,7,12.3,45,110,.120,.118,.228,.227,.280,.190,.230,.199,0,.227,.160,40.9,88.3,91.2,24,170,39.1,0.0,0.0,2024
"Taylor, Will",239,239,100.0,58,46,31,8,4,2,0,2,16,27.6,8,13.8,26,95,.174,.153,.328,.314,.348,.261,.307,.275,1,.207,.174,27.4,83.3,90.2,27,148,29.0,3.2,1.7,2024
"Godoy, José",239,239,100.0,63,56,45,8,7,1,0,0,12,19.0,4,6.3,23,97,.143,.168,.226,.256,.161,.199,.187,.217,0,.182,.018,23.7,82.7,90.7,7,137,20.0,0.0,0.0,2024
